"country","model","block","year_month","weight","surprise_zscore","contrib_zscore","contrib_index"
"Germany","sg_lasso","Total","2016-07",0.391127744570575,0.0807638975236699,0.0315890010811621,0.531003379432871
"Germany","sg_lasso","Total","2016-08",0.391127744570575,0.0894917843689919,0.0350027197778401,0.588251047904173
"Germany","sg_lasso","Total","2016-09",0.391127744570575,0.0658990126061013,0.0257749321700523,0.433502114956563
"Germany","sg_lasso","Total","2016-10",0.391000821612474,0.102647749887504,0.0401353545426859,0.674324740410857
"Germany","sg_lasso","Total","2016-11",0.391000821612474,0.127518292325563,0.0498597570699148,0.837401848229388
"Germany","sg_lasso","Total","2016-12",0.391000821612474,0.119537560214711,0.0467392842575027,0.785071879385582
"Germany","sg_lasso","Total","2017-01",0.392589860788304,0.11793584621301,0.0463004174467165,0.777712133630492
"Germany","sg_lasso","Total","2017-02",0.392589860788304,0.0461394607225756,0.0181138844619234,0.30502722926531
"Germany","sg_lasso","Total","2017-03",0.392589860788304,0.0317884505386876,0.0124798233716593,0.210544675164887
"Germany","sg_lasso","Total","2017-04",0.392610077954359,0.106667890000262,0.0418788886082297,0.703563605420385
"Germany","sg_lasso","Total","2017-05",0.392610077954359,0.0585875776561254,0.0230020734307285,0.387001593990661
"Germany","sg_lasso","Total","2017-06",0.392610077954359,0.0950330960085223,0.03731095123215,0.626959822935918
"Germany","sg_lasso","Total","2017-07",0.393331868850305,0.0199499573781079,0.00784695401901512,0.132851990929034
"Germany","sg_lasso","Total","2017-08",0.393331868850305,0.247531909359402,0.0973621885084181,1.63401213987953
"Germany","sg_lasso","Total","2017-09",0.393331868850305,0.189620050223151,0.0745836087257606,1.25201798643225
"Germany","sg_lasso","Total","2017-10",0.394327125477423,-0.00247424247562454,-0.000975660923147166,-0.0151022431882559
"Germany","sg_lasso","Total","2017-11",0.394327125477423,0.0729655043375866,0.0287722775844509,0.483767251549233
"Germany","sg_lasso","Total","2017-12",0.394327125477423,0.0597919080530465,0.0235775712293682,0.396652625639682
"Germany","sg_lasso","Total","2018-01",0.392911979825488,0.0766777880168543,0.0301276214983413,0.50649621252733
"Germany","sg_lasso","Total","2018-02",0.392911979825488,0.0665700703777028,0.0261561781492253,0.439895566017118
"Germany","sg_lasso","Total","2018-03",0.392911979825488,0.0881133762656549,0.0346208011176466,0.581846316060558
"Germany","sg_lasso","Total","2018-04",0.393973352462854,0.0813602842726559,0.032053783952229,0.538797734527178
"Germany","sg_lasso","Total","2018-05",0.393973352462854,0.0823444462858104,0.0324415175599181,0.54529998236903
"Germany","sg_lasso","Total","2018-06",0.393973352462854,-0.0183549098695861,-0.00723134537547435,-0.120009349311678
"Germany","sg_lasso","Total","2018-07",0.391629183391646,-0.456678710700584,-0.178848710544019,-2.99801275206659
"Germany","sg_lasso","Total","2018-08",0.391629183391646,-0.367111142331973,-0.143771436885445,-2.40977092205366
"Germany","sg_lasso","Total","2018-09",0.391629183391646,-0.0682022343697129,-0.0267099853516963,-0.446663893142651
"Germany","sg_lasso","Total","2018-10",0.391374641596125,0.588148106203032,0.230186254270652,3.86145638980159
"Germany","sg_lasso","Total","2018-11",0.391374641596125,0.386791801177534,0.151380502558177,2.53989303074164
"Germany","sg_lasso","Total","2018-12",0.391374641596125,0.33652281771693,0.131706497172882,2.20996223155305
"Germany","sg_lasso","Total","2019-01",0.391435119654497,-0.289051875454882,-0.113145055455039,-1.89617004090614
"Germany","sg_lasso","Total","2019-02",0.391435119654497,-0.140330860827088,-0.0549304272990696,-0.919917446895928
"Germany","sg_lasso","Total","2019-03",0.391435119654497,0.304750206885817,0.119289933697082,2.00173789540398
"Germany","sg_lasso","Total","2019-04",0.390541037407636,0.232904110796,0.0909586130467727,1.52662491860205
"Germany","sg_lasso","Total","2019-05",0.390541037407636,0.53037448555881,0.207133001804679,3.4748560071627
"Germany","sg_lasso","Total","2019-06",0.390541037407636,-0.327645973459442,-0.127959198377285,-2.14460150760097
"Germany","sg_lasso","Total","2019-07",0.391776242484162,0.0867605563098109,0.0339907247468933,0.57128000805762
"Germany","sg_lasso","Total","2019-08",0.391776242484162,-0.0636217708799489,-0.0249254983355347,-0.416738251878777
"Germany","sg_lasso","Total","2019-09",0.391776242484162,0.30441086508282,0.119260944893501,2.00125175651432
"Germany","sg_lasso","Total","2019-10",0.391415415340653,-0.120645277739161,-0.047222421495162,-0.790655079359204
"Germany","sg_lasso","Total","2019-11",0.391415415340653,-0.405807493218805,-0.158839308506588,-2.66245738973911
"Germany","sg_lasso","Total","2019-12",0.391415415340653,-0.129650997883353,-0.0507473991858426,-0.849768548316443
"Germany","sg_lasso","Total","2020-01",0.399519130030127,-0.0383113352998026,-0.0153061113492696,-0.255422242559451
"Germany","sg_lasso","Total","2020-02",0.399519130030127,0.198909345994655,0.079468088866646,1.33393015454152
"Germany","sg_lasso","Total","2020-03",0.399519130030127,0.543464528777503,0.217124475739421,3.64241187165511
"Germany","sg_lasso","Total","2020-04",0.412238662989352,0.762247897838618,0.314228054271437,5.2708276742189
"Germany","sg_lasso","Total","2020-05",0.412238662989352,1.6631016872927,0.685594815984879,11.4986053984119
"Germany","sg_lasso","Total","2020-06",0.412238662989352,0.313217840430742,0.129120503763581,2.16659542060034
"Germany","sg_lasso","Total","2020-07",0.398481657904316,-6.65333652792352,-2.65123257024231,-44.45960467279
"Germany","sg_lasso","Total","2020-08",0.398481657904316,-6.57661558139772,-2.62066068027472,-43.9469176071836
"Germany","sg_lasso","Total","2020-09",0.398481657904316,1.43600729928289,0.572222569380946,9.59736591030041
"Germany","sg_lasso","Total","2020-10",0.400301839210344,3.28336385684492,1.31433659069179,22.0425323797144
"Germany","sg_lasso","Total","2020-11",0.400301839210344,2.25551408478691,0.902886436505036,15.1425607908803
"Germany","sg_lasso","Total","2020-12",0.400301839210344,-2.86974322146691,-1.14876348961462,-19.263371632306
"Germany","sg_lasso","Total","2021-01",0.396451428454899,-1.90622991692081,-0.755727573526718,-12.6722046906915
"Germany","sg_lasso","Total","2021-02",0.396451428454899,-1.07510164175851,-0.426225581609368,-7.14649432320439
"Germany","sg_lasso","Total","2021-03",0.396451428454899,-0.173651021231671,-0.0688441954199478,-1.15324973210904
"Germany","sg_lasso","Total","2021-04",0.398040716723166,0.146308573256952,0.058236769361941,0.977883377343261
"Germany","sg_lasso","Total","2021-05",0.398040716723166,0.275627076876231,0.109710799228126,1.84109691615327
"Germany","sg_lasso","Total","2021-06",0.398040716723166,0.371034674956072,0.147686907948662,2.47795187552031
"Germany","sg_lasso","Total","2021-07",0.392199367395243,1.26617510189258,0.496593073973876,8.32906800282223
"Germany","sg_lasso","Total","2021-08",0.392199367395243,0.729460920608818,0.28609411160233,4.79902470337688
"Germany","sg_lasso","Total","2021-09",0.392199367395243,0.125171696541841,0.0490922601994992,0.824531014310627
"Germany","sg_lasso","Total","2021-10",0.390570191489957,0.193698217891023,0.0756527500529603,1.26994736307012
"Germany","sg_lasso","Total","2021-11",0.390570191489957,0.165047996769074,0.0644628277031309,1.08229365700288
"Germany","sg_lasso","Total","2021-12",0.390570191489957,-0.451795631310947,-0.176457906235443,-2.95791923980081
"Germany","sg_lasso","Total","2022-01",0.390895393455862,-0.621780964398527,-0.243051314721927,-4.07468301272628
"Germany","sg_lasso","Total","2022-02",0.390895393455862,-1.49857265974683,-0.585785149453934,-9.82228985676111
"Germany","sg_lasso","Total","2022-03",0.390895393455862,0.988613014062699,0.386444273107624,6.48188532762433
"Germany","sg_lasso","Total","2022-04",0.388687197292813,0.67531634292712,0.262486816618375,4.40313309166884
"Germany","sg_lasso","Total","2022-05",0.388687197292813,0.578409584113745,0.224820400136473,3.77147163539352
"Germany","sg_lasso","Total","2022-06",0.388687197292813,-1.66768941835654,-0.648209525975886,-10.869139444905
"Germany","sg_lasso","Total","2022-07",0.388250857422374,-0.0476284284602308,-0.0184917781873648,-0.308845507688113
"Germany","sg_lasso","Total","2022-08",0.388250857422374,-0.0473967240057969,-0.0184018187342623,-0.307336898044299
"Germany","sg_lasso","Total","2022-09",0.388250857422374,0.00464813483111461,0.00180464233359505,0.0315231214753735
"Germany","sg_lasso","Total","2022-10",0.386970974637792,0.227460931795734,0.0880207784690155,1.47735777187006
"Germany","sg_lasso","Total","2022-11",0.386970974637792,0.0156709474652293,0.00606420181411742,0.102955442249794
"Germany","sg_lasso","Total","2022-12",0.386970974637792,-0.174310873685853,-0.0674532486801794,-1.12992371585088
"Germany","sg_lasso","Total","2023-01",0.385031708350351,0.630684313142309,0.242833458518951,4.07354854508083
"Germany","sg_lasso","Total","2023-02",0.385031708350351,0.724060221152349,0.278786143898822,4.67647092860435
"Germany","sg_lasso","Total","2023-03",0.385031708350351,0.576618844145194,0.222016538628229,3.72445120157171
"Germany","sg_lasso","Total","2023-04",0.38381327786846,-0.571126287580416,-0.219205852513084,-3.67479736415035
"Germany","sg_lasso","Total","2023-05",0.38381327786846,-0.682654934317778,-0.262012027993585,-4.39265198550999
"Germany","sg_lasso","Total","2023-06",0.38381327786846,-0.791101589641631,-0.303635294247304,-5.09066935568887
"Germany","sg_lasso","Total","2023-07",0.383078512144581,-0.189083514903904,-0.0724338315604553,-1.21344751580585
"Germany","sg_lasso","Total","2023-08",0.383078512144581,0.00201444950094916,0.000771692317613998,0.0142006689487915
"Germany","sg_lasso","Total","2023-09",0.383078512144581,0.387433683832986,0.148417519157434,2.49020414115131
"Germany","sg_lasso","Total","2023-10",0.381323036718143,-0.0662471773690619,-0.0252615748483761,-0.422374216203214
"Germany","sg_lasso","Total","2023-11",0.381323036718143,-0.188955570870888,-0.0720531120892975,-1.20706289422393
"Germany","sg_lasso","Total","2023-12",0.381323036718143,-0.659826961416492,-0.251607220635842,-4.21816456722814
"Germany","sg_lasso","Total","2024-01",0.380241649233956,0.0317281273869259,0.0120643554847097,0.203577326661419
"Germany","sg_lasso","Total","2024-02",0.380241649233956,0.0834701793713816,0.0317388386660283,0.533516138434164
"Germany","sg_lasso","Total","2024-03",0.380241649233956,0.00627629088546229,0.00238650719736023,0.041280928071548
"Germany","sg_lasso","Total","2024-04",0.378747804308163,0.127009352057132,0.0481045132182411,0.807966611458212
"Germany","sg_lasso","Total","2024-05",0.378747804308163,-0.380038732491939,-0.143938835483379,-2.4125781772169
"Germany","sg_lasso","Total","2024-06",0.378747804308163,-0.308225125599822,-0.11673958955354,-1.95644996279311
"Germany","sg_lasso","Total","2024-07",0.37806011600387,0.138991656913466,0.0525472019362749,0.882469988405673
"Germany","sg_lasso","Total","2024-08",0.37806011600387,0.561792985807372,0.212391521384495,3.56304077348459
"Germany","sg_lasso","Total","2024-09",0.37806011600387,0.418866723316909,0.158356802007351,2.65688476717603
"Germany","sg_lasso","Total","2024-10",0.378025553307014,0.343931826479873,0.130015019004946,2.18159633793719
"Germany","sg_lasso","Total","2024-11",0.378025553307014,0.276544600323607,0.104540925551398,1.7543987313931
"Germany","sg_lasso","Total","2024-12",0.378025553307014,0.150075690566316,0.0567324459642637,0.952656047619914
"Germany","sg_lasso","Total","2025-01",0.378181508722935,-0.338126218506505,-0.127873083453571,-2.1431573702712
"Germany","sg_lasso","Total","2025-02",0.378181508722935,-0.482991529942663,-0.182658465494115,-3.06190190279017
"Germany","sg_lasso","Total","2025-03",0.378181508722935,-0.270020433722099,-0.102116735011045,-1.71122638014481
"Germany","sg_lasso","Total","2025-04",0.376927933398326,-0.230674789264301,-0.0869477716044871,-1.45684461488776
"Germany","sg_lasso","Total","2025-05",0.376927933398326,-0.335922492753186,-0.126618570975473,-2.12211934083158
"Germany","sg_lasso","Total","2025-06",0.376927933398326,0.0702760429064595,0.0264890036201439,0.445477010743801
"Germany","sg_lasso","Total","2025-07",0.375774041851694,0.168693908565195,0.0633907918573035,1.06431573962176
"Germany","sg_lasso","Total","2025-08",0.375774041851694,0.299387359241909,0.112501998061637,1.88790499838155
"Germany","sg_lasso","Total","2025-09",0.375774041851694,0.106333834375846,0.0399574947290002,0.671342051867083
"Italy","factor_midas","Total","2013-01",0.209699895814756,-0.0404848355737983,-0.00848966580190301,-0.102813969683854
"Italy","factor_midas","Total","2013-02",0.209699895814756,-0.593239384885828,-0.124402237203768,-1.97052714511023
"Italy","factor_midas","Total","2013-03",0.209699895814756,2.86985960940933,0.601809261096112,9.82386435220987
"Italy","factor_midas","Total","2013-04",0.208250903771584,-0.467239951011886,-0.0973031420764157,-1.54738935851385
"Italy","factor_midas","Total","2013-05",0.208250903771584,-2.93026720266409,-0.610230793247028,-9.89029735190448
"Italy","factor_midas","Total","2013-06",0.208250903771584,1.79310418872693,0.373415567858995,6.10016051646509
"Italy","factor_midas","Total","2013-07",0.208525255446793,0.00971455952616428,0.00202573100674649,0.0594036349296835
"Italy","factor_midas","Total","2013-08",0.208525255446793,0.107740506178018,0.0224666165727381,0.391880207778298
"Italy","factor_midas","Total","2013-09",0.208525255446793,-0.0937519082754445,-0.0195496406217614,-0.291525662816402
"Italy","factor_midas","Total","2013-10",0.207779638643349,-0.0209539098377498,-0.00435379581425298,-0.0443611069154834
"Italy","factor_midas","Total","2013-11",0.207779638643349,-0.504064478736992,-0.10473433524492,-1.67707792942583
"Italy","factor_midas","Total","2013-12",0.207779638643349,-0.4060551905286,-0.0843700007572888,-1.34584648072308
"Italy","factor_midas","Total","2014-01",0.206904573666106,-0.0255109754110188,-0.00527833749122337,-0.0593990291827183
"Italy","factor_midas","Total","2014-02",0.206904573666106,-0.643517680943138,-0.133146751422141,-2.13921361950902
"Italy","factor_midas","Total","2014-03",0.206904573666106,-0.0938884172435172,-0.0194259429419554,-0.289513686352934
"Italy","factor_midas","Total","2014-04",0.20668203889626,-0.00818343068373682,-0.00169136813888094,-0.00105599539733395
"Italy","factor_midas","Total","2014-05",0.20668203889626,-0.624084967850186,-0.128987153599783,-2.07155662764625
"Italy","factor_midas","Total","2014-06",0.20668203889626,-0.188122639396755,-0.0388815706730672,-0.605964772083804
"Italy","factor_midas","Total","2014-07",0.205661836220521,-0.0382399184471767,-0.00786449184476936,-0.101463534340706
"Italy","factor_midas","Total","2014-08",0.205661836220521,0.365729919778055,0.0752166868623388,1.2498744727914
"Italy","factor_midas","Total","2014-09",0.205661836220521,0.281427568636735,0.0578789105289077,0.967870817052265
"Italy","factor_midas","Total","2014-10",0.204709268192204,-0.0191191941139692,-0.00391387623549534,-0.0372056951109337
"Italy","factor_midas","Total","2014-11",0.204709268192204,-0.554794169762069,-0.113571508489295,-1.82081695993278
"Italy","factor_midas","Total","2014-12",0.204709268192204,0.105798599543251,0.021657953888259,0.378727088895156
"Italy","factor_midas","Total","2015-01",0.204874119304992,-0.0598176044871625,-0.0122550790382418,-0.172877631257691
"Italy","factor_midas","Total","2015-02",0.204874119304992,0.0331556942355546,0.00679274365645483,0.136940394449434
"Italy","factor_midas","Total","2015-03",0.204874119304992,-0.0365884003352433,-0.00749601629546143,-0.0954701791400767
"Italy","factor_midas","Total","2015-04",0.204829226509382,-0.0390112004924854,-0.00799063402207819,-0.103515271222061
"Italy","factor_midas","Total","2015-05",0.204829226509382,0.111249701093172,0.0227871902243144,0.397094425561454
"Italy","factor_midas","Total","2015-06",0.204829226509382,0.143130825376768,0.0293173762515728,0.503309680443513
"Italy","factor_midas","Total","2015-07",0.204046139732661,-0.0214276247278626,-0.00437222410936047,-0.0446608481561944
"Italy","factor_midas","Total","2015-08",0.204046139732661,-0.152838005489264,-0.0311860050245236,-0.48079430015395
"Italy","factor_midas","Total","2015-09",0.204046139732661,-0.475788673830024,-0.0970828422235385,-1.55262431078435
"Italy","factor_midas","Total","2015-10",0.204016781969978,0.0462015453610187,0.00942589060659502,0.179769246994156
"Italy","factor_midas","Total","2015-11",0.204016781969978,-0.143272746137737,-0.0292300446110228,-0.448980071127089
"Italy","factor_midas","Total","2015-12",0.204016781969978,0.15551586058109,0.0317278454210458,0.542516618217138
"Italy","factor_midas","Total","2016-01",0.203288838691812,-0.180057315943266,-0.0366036426560714,-0.568913652266047
"Italy","factor_midas","Total","2016-02",0.203288838691812,0.267768559999634,0.0544343596005044,0.911844257734141
"Italy","factor_midas","Total","2016-03",0.203288838691812,-0.0532138825893726,-0.010817788393876,-0.149499707337352
"Italy","factor_midas","Total","2016-04",0.203654496006923,-0.0624051222377516,-0.0127090837175797,-0.180262141060664
"Italy","factor_midas","Total","2016-05",0.203654496006923,0.0219116703481387,0.00446241018142003,0.0990368855788096
