"country","model","block","year_month","mensual_surprise","surprise_zscore","climate_index_country"
"France","factor_midas","Expenditures","2017-02",1225.1372148928,0.557766566186211,105.577665661862
"France","factor_midas","Expenditures","2017-03",-70.884350114984,0.0614374722981026,100.614374722981
"France","factor_midas","Expenditures","2017-04",-27.3227080747974,0.0781199958809214,100.781199958809
"France","factor_midas","Expenditures","2017-05",-4.26208174377643,0.0869513765310568,100.869513765311
"France","factor_midas","Expenditures","2017-06",10.0828927006783,0.0924449796933016,100.924449796933
"France","factor_midas","Expenditures","2017-07",3.34788321051383,0.0898657161626357,100.898657161626
"France","factor_midas","Expenditures","2017-08",105.019576066173,0.128802274435736,101.288022744357
"France","factor_midas","Expenditures","2017-09",-183.595633078335,0.0182731527724236,100.182731527724
"France","factor_midas","Expenditures","2017-10",23.5723134901937,0.0976109369414709,100.976109369415
"France","factor_midas","Expenditures","2017-11",-65.6444129874276,0.0634441775233626,100.634441775234
"France","factor_midas","Expenditures","2017-12",47.1210966920275,0.106629263907862,101.066292639079
"France","factor_midas","Expenditures","2018-01",-0.661330914868813,0.0883303330580787,100.883303330581
"France","factor_midas","Expenditures","2018-02",692.066093896721,0.353619726654022,103.53619726654
"France","factor_midas","Expenditures","2018-03",-100.615853967838,0.0500513883272475,100.500513883272
"France","factor_midas","Expenditures","2018-04",69.6969343615078,0.115274988143315,101.152749881433
"France","factor_midas","Expenditures","2018-05",-322.6691531898,-0.0349869441923506,99.6501305580765
"France","factor_midas","Expenditures","2018-06",131.503480502226,0.138944646018331,101.389446460183
"France","factor_midas","Expenditures","2018-07",-37.3631689998449,0.0742748647444516,100.742748647445
"France","factor_midas","Expenditures","2018-08",222.396019548494,0.173753180663164,101.737531806632
"France","factor_midas","Expenditures","2018-09",16.357596451475,0.0948479628774824,100.948479628775
"France","factor_midas","Expenditures","2018-10",32.3677724428201,0.100979277631281,101.009792776313
"France","factor_midas","Expenditures","2018-11",85.6629333151513,0.121389384699389,101.213893846994
"France","factor_midas","Expenditures","2018-12",20.2459613406818,0.0963370651225941,100.963370651226
"France","factor_midas","Expenditures","2019-01",-95.6748975172995,0.0519435948338742,100.519435948339
"France","factor_midas","Expenditures","2019-02",-239.535696352978,-0.00314985566106641,99.9685014433893
"France","factor_midas","Expenditures","2019-03",117.901331268371,0.133735517878453,101.337355178785
"France","factor_midas","Expenditures","2019-04",-160.175949459752,0.0272420392966905,100.272420392967
