"model","country","block","publication_date","nowcast_value","nb_factors","lambda","gamma","cv_mse","df","n_selected","n_selected_groups","date_new","last_obs_y","target_name","selected_columns","status","error","target_date","target_pub_date","surprise_raw","surprise","year_month"
"factor_midas","France","Revenues",2014-01-05,3586.89072995098,2,NA,NA,NA,NA,NA,NA,2014-01-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,-334.756525676051,-334.756525676051,"2014-01"
"factor_midas","France","Revenues",2014-01-15,4350.8989617863,2,NA,NA,NA,NA,NA,NA,2014-01-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,764.008231835318,764.008231835318,"2014-01"
"factor_midas","France","Revenues",2014-01-27,3846.32979710703,2,NA,NA,NA,NA,NA,NA,2014-01-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,-504.569164679264,-504.569164679264,"2014-01"
"factor_midas","France","Revenues",2014-01-30,3839.83882099906,2,NA,NA,NA,NA,NA,NA,2014-01-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,-6.49097610797571,-6.49097610797571,"2014-01"
"factor_midas","France","Revenues",2014-02-01,2400.3518483153,2,NA,NA,NA,NA,NA,NA,2014-02-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,-1439.48697268376,-1439.48697268376,"2014-02"
"factor_midas","France","Revenues",2014-02-05,2459.39967672891,2,NA,NA,NA,NA,NA,NA,2014-02-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,59.0478284136079,59.0478284136079,"2014-02"
"factor_midas","France","Revenues",2014-02-06,4342.54923004721,2,NA,NA,NA,NA,NA,NA,2014-02-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,1883.1495533183,1883.1495533183,"2014-02"
"factor_midas","France","Revenues",2014-02-15,2624.25504068979,2,NA,NA,NA,NA,NA,NA,2014-02-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,-1718.29418935742,-1718.29418935742,"2014-02"
"factor_midas","France","Revenues",2014-02-27,-858.01034451642,2,NA,NA,NA,NA,NA,NA,2014-02-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,-3482.26538520621,-3482.26538520621,"2014-02"
"factor_midas","France","Revenues",2014-03-01,83.4150167101789,2,NA,NA,NA,NA,NA,NA,2014-03-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,941.425361226599,941.425361226599,"2014-03"
"factor_midas","France","Revenues",2014-03-05,-465.107025185553,2,NA,NA,NA,NA,NA,NA,2014-03-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,-548.522041895732,-548.522041895732,"2014-03"
"factor_midas","France","Revenues",2014-03-06,-15.5324964079159,2,NA,NA,NA,NA,NA,NA,2014-03-01,1908.20000000001,"Total revenues accrual",NA,"OK",NA,2014-01-01,2014-03-15,449.574528777637,449.574528777637,"2014-03"
"factor_midas","France","Revenues",2014-03-15,1702.02283162356,2,NA,NA,NA,NA,NA,NA,2014-03-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,NA,0,"2014-03"
"factor_midas","France","Revenues",2014-03-27,4710.96406353015,2,NA,NA,NA,NA,NA,NA,2014-03-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,3008.94123190658,3008.94123190658,"2014-03"
"factor_midas","France","Revenues",2014-04-01,4563.14656214178,2,NA,NA,NA,NA,NA,NA,2014-04-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,-147.817501388363,-147.817501388363,"2014-04"
"factor_midas","France","Revenues",2014-04-02,4714.9941268969,2,NA,NA,NA,NA,NA,NA,2014-04-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,151.847564755117,151.847564755117,"2014-04"
"factor_midas","France","Revenues",2014-04-05,3708.20746376906,2,NA,NA,NA,NA,NA,NA,2014-04-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,-1006.78666312784,-1006.78666312784,"2014-04"
"factor_midas","France","Revenues",2014-04-15,5232.22164383617,2,NA,NA,NA,NA,NA,NA,2014-04-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,1524.01418006711,1524.01418006711,"2014-04"
"factor_midas","France","Revenues",2014-04-24,5230.35743911747,2,NA,NA,NA,NA,NA,NA,2014-04-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,-1.86420471870224,-1.86420471870224,"2014-04"
"factor_midas","France","Revenues",2014-04-27,3770.24050291138,2,NA,NA,NA,NA,NA,NA,2014-04-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,-1460.1169362061,-1460.1169362061,"2014-04"
"factor_midas","France","Revenues",2014-05-01,3079.04926897071,2,NA,NA,NA,NA,NA,NA,2014-05-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,-691.191233940667,-691.191233940667,"2014-05"
"factor_midas","France","Revenues",2014-05-04,2487.36621322064,2,NA,NA,NA,NA,NA,NA,2014-05-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,-591.683055750072,-591.683055750072,"2014-05"
"factor_midas","France","Revenues",2014-05-05,2270.65485891259,2,NA,NA,NA,NA,NA,NA,2014-05-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,-216.711354308047,-216.711354308047,"2014-05"
"factor_midas","France","Revenues",2014-05-15,-719.56977056029,2,NA,NA,NA,NA,NA,NA,2014-05-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,-2990.22462947288,-2990.22462947288,"2014-05"
"factor_midas","France","Revenues",2014-05-27,2059.44239774249,2,NA,NA,NA,NA,NA,NA,2014-05-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,2779.01216830278,2779.01216830278,"2014-05"
"factor_midas","France","Revenues",2014-05-29,2807.88819760486,2,NA,NA,NA,NA,NA,NA,2014-05-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,748.445799862372,748.445799862372,"2014-05"
"factor_midas","France","Revenues",2014-06-01,3107.38826859742,2,NA,NA,NA,NA,NA,NA,2014-06-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,299.500070992559,299.500070992559,"2014-06"
"factor_midas","France","Revenues",2014-06-05,3472.5234273274,2,NA,NA,NA,NA,NA,NA,2014-06-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,365.135158729974,365.135158729974,"2014-06"
"factor_midas","France","Revenues",2014-06-07,3471.9169429616,2,NA,NA,NA,NA,NA,NA,2014-06-01,1217.90000000002,"Total revenues accrual",NA,"OK",NA,2014-04-01,2014-06-15,-0.606484365796859,-0.606484365796859,"2014-06"
"factor_midas","France","Revenues",2014-06-15,3595.98628474713,2,NA,NA,NA,NA,NA,NA,2014-06-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,NA,0,"2014-06"
"factor_midas","France","Revenues",2014-06-26,3636.82105098244,2,NA,NA,NA,NA,NA,NA,2014-06-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,40.8347662353085,40.8347662353085,"2014-06"
"factor_midas","France","Revenues",2014-06-27,3710.49665510117,2,NA,NA,NA,NA,NA,NA,2014-06-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,73.6756041187314,73.6756041187314,"2014-06"
"factor_midas","France","Revenues",2014-07-01,4732.78934431674,2,NA,NA,NA,NA,NA,NA,2014-07-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,1022.29268921556,1022.29268921556,"2014-07"
"factor_midas","France","Revenues",2014-07-02,4845.63295025599,2,NA,NA,NA,NA,NA,NA,2014-07-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,112.843605939252,112.843605939252,"2014-07"
"factor_midas","France","Revenues",2014-07-05,4147.50858869909,2,NA,NA,NA,NA,NA,NA,2014-07-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,-698.124361556894,-698.124361556894,"2014-07"
"factor_midas","France","Revenues",2014-07-15,6845.91576951911,2,NA,NA,NA,NA,NA,NA,2014-07-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,2698.40718082001,2698.40718082001,"2014-07"
"factor_midas","France","Revenues",2014-07-27,6466.69741662299,2,NA,NA,NA,NA,NA,NA,2014-07-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,-379.21835289612,-379.21835289612,"2014-07"
"factor_midas","France","Revenues",2014-07-31,6503.66531974987,2,NA,NA,NA,NA,NA,NA,2014-07-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,36.9679031268852,36.9679031268852,"2014-07"
"factor_midas","France","Revenues",2014-08-01,5665.99783107658,2,NA,NA,NA,NA,NA,NA,2014-08-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,-837.667488673294,-837.667488673294,"2014-08"
"factor_midas","France","Revenues",2014-08-05,3043.62267195664,2,NA,NA,NA,NA,NA,NA,2014-08-01,-567.5,"Total revenues accrual",NA,"OK",NA,2014-07-01,2014-09-15,-2622.37515911994,-2622.37515911994,"2014-08"
