"model","block","year_month","cross_sec_sd","fragmentation_index"
"factor_midas","Expenditures","2015-08",0.69321734584586,106.754203595309
"factor_midas","Expenditures","2015-09",0.219844737424156,95.6349631862145
"factor_midas","Expenditures","2015-10",0.0625165509105099,83.4597037256284
"factor_midas","Expenditures","2015-11",1.37028604301861,113.351950127925
"factor_midas","Expenditures","2015-12",2.48065118586122,119.098345406119
"factor_midas","Expenditures","2016-01",0.231827813435248,96.1488294964672
"factor_midas","Expenditures","2016-02",0.632778492627524,105.870963688757
"factor_midas","Expenditures","2016-03",0.164822669528433,92.8459948276308
"factor_midas","Expenditures","2016-04",0.101877264478351,88.1878799080957
"factor_midas","Expenditures","2016-05",0.350695148458023,100.156504989029
"factor_midas","Expenditures","2016-06",0.139356471708626,91.2209847232186
"factor_midas","Expenditures","2016-07",0.142099342186098,91.4097023336758
"factor_midas","Expenditures","2016-08",0.373507278205234,100.766678237038
"factor_midas","Expenditures","2016-09",0.19147026820705,94.2969908248871
"factor_midas","Expenditures","2016-10",0.969369039079937,110.000659427287
"factor_midas","Expenditures","2016-11",0.255978344056802,97.1083145455522
"factor_midas","Expenditures","2016-12",0.379419939675671,100.918747887879
"factor_midas","Expenditures","2017-01",0.248288677834731,96.8130004390158
"factor_midas","Expenditures","2017-02",0.375643899995035,100.821906701398
"factor_midas","Expenditures","2017-03",0.336413978390897,99.7539694525288
"factor_midas","Expenditures","2017-04",0.0417457254714589,79.5497034882195
"factor_midas","Expenditures","2017-05",0.219087318287957,95.6015480674264
"factor_midas","Expenditures","2017-06",0.0953857529301274,87.5504086479277
"factor_midas","Expenditures","2017-07",0.104329551890163,88.4181791087831
"factor_midas","Expenditures","2017-08",0.666532469883884,106.374131883439
"factor_midas","Expenditures","2017-09",0.392220896698037,101.240018266364
"factor_midas","Expenditures","2017-10",0.10832111244127,88.7817010216586
"factor_midas","Expenditures","2017-11",0.551829328205749,104.545649834933
"factor_midas","Expenditures","2017-12",0.077752947443669,85.5714390058297
"factor_midas","Expenditures","2018-01",0.0961374561069421,87.6264116609851
"factor_midas","Expenditures","2018-02",0.641762115500995,106.007456139418
"factor_midas","Expenditures","2018-03",0.0785078636356204,85.6649915599908
"factor_midas","Expenditures","2018-04",0.191024555344219,94.2744259252607
"factor_midas","Expenditures","2018-05",0.598998293129496,105.339782473407
"factor_midas","Expenditures","2018-06",0.118896598787751,89.6836369123693
"factor_midas","Expenditures","2018-07",0.124675603476576,90.1431632835159
"factor_midas","Expenditures","2018-08",0.480154313167879,103.198554397245
"factor_midas","Expenditures","2018-09",0.144151552363717,91.5485331985963
"factor_midas","Expenditures","2018-10",0.104667117023824,88.4494559006721
"factor_midas","Expenditures","2018-11",0.395826284952438,101.328612703538
"factor_midas","Expenditures","2018-12",0.103851032450501,88.3736684798296
"factor_midas","Expenditures","2019-01",0.203536970255288,94.8887190506922
"factor_midas","Expenditures","2019-02",0.111057727961515,89.0232722354447
"factor_midas","Expenditures","2019-03",0.12631352883397,90.269534730541
"factor_midas","Expenditures","2019-04",0.128636697792744,90.445992594795
"factor_midas","Expenditures","2019-05",0.0957246031412169,87.584742900523
"factor_midas","Expenditures","2019-06",0.0250099094590082,74.5892760172323
"factor_midas","Expenditures","2019-07",0.0945665122438282,87.4668919466072
"factor_midas","Expenditures","2019-08",0.622273607926731,105.708878518571
"factor_midas","Expenditures","2019-09",0.193743356806153,94.4112584940539
"factor_midas","Expenditures","2019-10",0.076704420390043,85.4399827416229
"factor_midas","Expenditures","2019-11",0.267420742818371,97.5317204639674
"factor_midas","Expenditures","2019-12",0.0654866505768973,83.9091023655776
"factor_midas","Expenditures","2020-01",0.106737469414524,88.6391035027542
"factor_midas","Expenditures","2020-02",0.71599388606197,107.067209899056
"factor_midas","Expenditures","2020-03",0.800097041454745,108.142527438012
"factor_midas","Expenditures","2020-04",1.51021915182144,114.293400458163
"factor_midas","Expenditures","2020-05",1.25240926579569,112.481033252583
"factor_midas","Expenditures","2020-06",1.22208408219951,112.243708795818
"factor_midas","Expenditures","2020-07",0.933997536744707,109.640757084521
"factor_midas","Expenditures","2020-08",5.16093501181738,126.191485643645
"factor_midas","Expenditures","2020-09",1.04059919221664,110.687190495506
"factor_midas","Expenditures","2020-10",0.622198826903483,105.707714902458
