"source","fragmentation_index","frag_ea_c","marginal_effect","ci_low","ci_high","ci_low_68","ci_high_68"
"GDP-weighted country aggregates",114.508952332737,14.5089523327374,-4.87732460314458,-7.77681140438562,-1.97783780190353,-6.35665460377776,-3.39799460251139
"GDP-weighted country aggregates",114.993330477938,14.9933304779385,-4.99619853330105,-7.98009110947301,-2.01230595712908,-6.51859270481736,-3.47380436178474
"GDP-weighted country aggregates",115.47770862314,15.4777086231396,-5.11507246345752,-8.18347030391342,-2.04667462300161,-6.68058156573094,-3.5495633611841
"GDP-weighted country aggregates",115.962086768341,15.9620867683406,-5.23394639361399,-8.38694098829883,-2.08095179892914,-6.84261710518789,-3.62527568204008
"GDP-weighted country aggregates",116.446464913542,16.4464649135417,-5.35282032377046,-8.590495991055,-2.11514465648591,-7.00469566422175,-3.70094498331916
"GDP-weighted country aggregates",116.930843058743,16.9308430587428,-5.47169425392692,-8.79412886495512,-2.14925964289873,-7.16681395343111,-3.77657455442274
"GDP-weighted country aggregates",117.415221203944,17.4152212039439,-5.59056818408339,-8.99783379864984,-2.18330256951694,-7.32896900784179,-3.852167360325
"GDP-weighted country aggregates",117.899599349145,17.899599349145,-5.70944211423986,-9.20160554075255,-2.21727868772718,-7.49115814817491,-3.92772608030482
"GDP-weighted country aggregates",118.383977494346,18.3839774943461,-5.82831604439633,-9.40543933446559,-2.25119275432708,-7.65337894749289,-4.00325314129977
"GDP-weighted country aggregates",118.868355639547,18.8683556395471,-5.9471899745528,-9.60933086109118,-2.28504908801442,-7.81562920237851,-4.0787507467271
"GDP-weighted country aggregates",119.352733784748,19.3527337847482,-6.06606390470927,-9.81327619105941,-2.31885161835913,-7.97790690794914,-4.1542209014694
"GDP-weighted country aggregates",119.837111929949,19.8371119299493,-6.18493783486574,-10.0172717413394,-2.35260392839205,-8.14021023612783,-4.22966543360365
"GDP-weighted country aggregates",120.32149007515,20.3214900751504,-6.30381176502221,-10.22131423829,-2.38630929175439,-8.30253751668947,-4.30508601335495
"GDP-weighted country aggregates",120.805868220351,20.8058682203515,-6.42268569517868,-10.4254006851609,-2.41997070519647,-8.46488722067981,-4.38048416967755
"GDP-weighted country aggregates",121.290246365553,21.2902463655525,-6.54155962533515,-10.6295283335831,-2.45359091708724,-8.6272579458698,-4.4558613048005
"GDP-weighted country aggregates",121.774624510754,21.7746245107536,-6.66043355549162,-10.8336946584921,-2.4871724524911,-8.78964840396127,-4.53121870702197
"GDP-weighted country aggregates",122.259002655955,22.2590026559547,-6.77930748564809,-11.0378973360137,-2.52071763528245,-8.95205740930403,-4.60655756199215
"GDP-weighted country aggregates",122.743380801156,22.7433808011558,-6.89818141580456,-11.2421342239131,-2.55422860769597,-9.11448386892119,-4.68187896268793
"GDP-weighted country aggregates",123.227758946357,23.2277589463569,-7.01705534596103,-11.4464033442706,-2.58770734765147,-9.27692677366998,-4.75718391825207
"GDP-weighted country aggregates",123.712137091558,23.712137091558,-7.1359292761175,-11.6507028680931,-2.62115568414188,-9.43938519039077,-4.83247336184422
"GDP-weighted country aggregates",124.196515236759,24.196515236759,-7.25480320627397,-11.8550311016167,-2.65457531093127,-9.6018582549182,-4.90774815762973
"GDP-weighted country aggregates",124.68089338196,24.6808933819601,-7.37367713643044,-12.0593864740862,-2.68796779877462,-9.76434516584667,-4.98300910701421
"GDP-weighted country aggregates",125.165271527161,25.1652715271612,-7.49255106658691,-12.2637675268324,-2.72133460634139,-9.92684517895707,-5.05825695421674
"GDP-weighted country aggregates",125.649649672362,25.6496496723623,-7.61142499674337,-12.4681729034869,-2.75467708999983,-10.0893576022248,-5.13349239126197
"GDP-weighted country aggregates",126.134027817563,26.1340278175634,-7.73029892689984,-12.6726013412018,-2.78799651259788,-10.2518817913396,-5.20871606246007
"GDP-weighted country aggregates",126.618405962764,26.6184059627644,-7.84917285705631,-12.8770516627545,-2.8212940513581,-10.4144171456779,-5.28392856843477
"GDP-weighted country aggregates",127.102784107966,27.1027841079655,-7.96804678721278,-13.0815227694367,-2.85457080498887,-10.576963104674,-5.35913046975161
"GDP-weighted country aggregates",127.587162253167,27.5871622531666,-8.08692071736925,-13.2860136346375,-2.88782780010096,-10.739519144547,-5.43432229019155
"GDP-weighted country aggregates",128.071540398368,28.0715403983677,-8.20579464752572,-13.4905232980446,-2.92106599700684,-10.9020847753415,-5.50950451970997
"Direct euro area EA-MD factors",80.1181040234606,-19.8818959765394,0.851480973392398,-3.0897543074719,4.79271625425669,-1.15935335357918,2.86231530036398
"Direct euro area EA-MD factors",80.6024821686617,-19.3975178313383,0.802099891061937,-3.03710973689859,4.64130951902247,-1.1566805313669,2.76088031349078
"Direct euro area EA-MD factors",81.0868603138628,-18.9131396861372,0.752718808731475,-2.98453143700595,4.4899690544689,-1.15404152072639,2.65947913818934
"Direct euro area EA-MD factors",81.5712384590638,-18.4287615409362,0.703337726401012,-2.93202498379013,4.33870043659215,-1.15143916655365,2.55811461935568
"Direct euro area EA-MD factors",82.0556166042649,-17.9443833957351,0.65395664407055,-2.87959659220259,4.18750988034369,-1.14887663974227,2.45678992788337
"Direct euro area EA-MD factors",82.539994749466,-17.460005250534,0.604575561740088,-2.82725320963657,4.03640433311675,-1.14635748488066,2.35550860836083
"Direct euro area EA-MD factors",83.0243728946671,-16.9756271053329,0.555194479409626,-2.77500262617815,3.8853915849974,-1.1438856765025,2.25427463532176
"Direct euro area EA-MD factors",83.5087510398682,-16.4912489601318,0.505813397079164,-2.72285360520304,3.73448039936137,-1.14146568571788,2.15309247987621
"Direct euro area EA-MD factors",83.9931291850693,-16.0068708149307,0.456432314748702,-2.67081603879327,3.58368066829068,-1.13910255950741,2.05196718900481
