"source","h","state","irf","se_irf","ci_low","ci_high","ci_low_68","ci_high_68"
"GDP-weighted country aggregates",16,"High fragmentation (+1 sd)",-2.42763878744312,1.0523933388267,-4.49032973154345,-0.364947843342799,-3.48003212626982,-1.37524544861643
"GDP-weighted country aggregates",17,"High fragmentation (+1 sd)",-2.5272145820287,0.906850955910039,-4.30464245561238,-0.749786708445025,-3.43406553793874,-1.62036362611866
"GDP-weighted country aggregates",18,"High fragmentation (+1 sd)",-3.54820148498882,0.994720313289927,-5.49785329903708,-1.59854967094057,-4.54292179827875,-2.5534811716989
"GDP-weighted country aggregates",19,"High fragmentation (+1 sd)",-1.98501967621906,1.0703482116402,-4.08290217103385,0.112862818595734,-3.05536788785926,-0.914671464578857
"GDP-weighted country aggregates",20,"High fragmentation (+1 sd)",-3.38325440447856,1.1418528012291,-5.62128589488761,-1.14522291406952,-4.52510720570767,-2.24140160324946
"GDP-weighted country aggregates",21,"High fragmentation (+1 sd)",-2.67257991912558,1.12067678381094,-4.86910641539501,-0.476053422856147,-3.79325670293652,-1.55190313531464
"GDP-weighted country aggregates",22,"High fragmentation (+1 sd)",-2.40065198523503,1.08274710223148,-4.52283630560873,-0.278467664861331,-3.48339908746651,-1.31790488300355
"GDP-weighted country aggregates",23,"High fragmentation (+1 sd)",-2.12705645614776,1.14171986311019,-4.36482738784373,0.110714475548209,-3.26877631925795,-0.985336593037572
"GDP-weighted country aggregates",24,"High fragmentation (+1 sd)",-3.07795148379082,0.983101533999258,-5.00483049042936,-1.15107247715227,-4.06105301779008,-2.09484994979156
"Direct euro area EA-MD factors",0,"Low fragmentation (-1 sd)",0.401206098367487,0.622113984934316,-0.818137312103772,1.62054950883875,-0.220907886566829,1.0233200833018
"Direct euro area EA-MD factors",1,"Low fragmentation (-1 sd)",3.14452004926741,1.21613667212984,0.760892171892925,5.52814792664189,1.92838337713757,4.36065672139724
"Direct euro area EA-MD factors",2,"Low fragmentation (-1 sd)",0.698755025515724,1.04739383508499,-1.35413689125085,2.7516469422823,-0.348638809569263,1.74614886060071
"Direct euro area EA-MD factors",3,"Low fragmentation (-1 sd)",1.34052271288429,0.801402744762616,-0.230226666850435,2.91127209261902,0.539119968121676,2.14192545764691
"Direct euro area EA-MD factors",4,"Low fragmentation (-1 sd)",0.609109587554597,0.875023060224255,-1.10593561048494,2.32415478559414,-0.265913472669658,1.48413264777885
"Direct euro area EA-MD factors",5,"Low fragmentation (-1 sd)",0.826849590520087,0.728398641747513,-0.600811747305039,2.25451092834521,0.0984509487725737,1.5552482322676
"Direct euro area EA-MD factors",6,"Low fragmentation (-1 sd)",1.16773059284867,0.891315729227405,-0.579248236437045,2.91470942213438,0.276414863621264,2.05904632207607
"Direct euro area EA-MD factors",7,"Low fragmentation (-1 sd)",3.34453157129811,1.59999262710192,0.208546022178346,6.48051712041788,1.74453894419619,4.94452419840003
"Direct euro area EA-MD factors",8,"Low fragmentation (-1 sd)",4.41511231054558,3.59024334967074,-2.62176465480907,11.4519892759002,0.824868960874842,8.00535566021632
"Direct euro area EA-MD factors",9,"Low fragmentation (-1 sd)",-2.20813120413545,2.74737534241554,-7.5929868752699,3.176724466999,-4.95550654655098,0.539244138280088
"Direct euro area EA-MD factors",10,"Low fragmentation (-1 sd)",-1.42165277532878,1.75771068373414,-4.8667657154477,2.02346016479013,-3.17936345906292,0.336057908405357
